availability,dimensions,minifigs_count,msrp,packaging,pieces,set_name,set_number,set_type,subtheme,theme,theme_group,weight,year_released
lego exclusive,,0,$199.00,box,2882,statue of liberty,3450-1,normal,sculptures,creator expert,model making,,2000
retail - limited,,0,£39.99 / $50.00,box,574,sopwith camel,3451-1,normal,aircraft,creator expert,model making,,2001
lego exclusive,,0,$149.00,box,1849,lego mini-figure,3723-1,normal,sculptures,creator expert,model making,,2000
lego exclusive,,0,$99.00,box,1530,lego dragon,3724-1,normal,sculptures,creator expert,model making,,2001
promotional,,3,,box,815,vestas wind turbine,4999-1,normal,general,creator expert,model making,,2008
retail - limited,,0,£34.99 / $50.00,box,664,red baron,10024-1,normal,aircraft,creator expert,model making,,2002
lego exclusive,,0,£49.99 / $60.00,box,670,wright flyer,10124-1,normal,aircraft,creator expert,model making,,2003
lego exclusive,,0,$75.00,box,988,maersk sealand container ship,10152-1,normal,maersk,creator expert,model making,,2004
lego exclusive,,0,£102.99 / $119.99,box,990,maersk line container ship,10155-1,normal,maersk,creator expert,model making,,2010
retail - limited,,7,£49.99 / $89.99,box,965,holiday train,10173-1,normal,trains,creator expert,model making,,2006
retail - limited,,0,£49.99 / $79.99,box,1197,boeing 787 dreamliner,10177-1,normal,aircraft,creator expert,model making,,2006
lego exclusive,,0,£146.79 / $199.99,box,3428,eiffel tower,10181-1,normal,buildings,creator expert,model making,,2007
lego exclusive,,3,£88.09 / $139.99,box,2056,cafe corner,10182-1,normal,modular buildings,creator expert,model making,,2007
retail - limited,,8,£88.09 / $149.99,box,1981,town plan,10184-1,normal,,creator expert,model making,,2008
retail - limited,,4,£99.99 / $149.99,box,2352,green grocer,10185-1,normal,modular buildings,creator expert,model making,,2008
lego exclusive,,0,£78.29 / $119.99,box,1626,volkswagen beetle,10187-1,normal,vehicles,creator expert,model making,,2008
retail - limited,,0,£199.99 / $299.99,box,5922,taj mahal,10189-1,normal,buildings,creator expert,model making,,2008
lego exclusive,,3,£59.99 / $89.99,box,1248,market street,10190-1,normal,modular buildings,creator expert,model making,,2007
retail,,3,£69.99 / $99.99,box,1085,emerald night,10194-1,normal,trains,creator expert,model making,,2009
retail - limited,,9,£179.99 / $249.99,box,3263,grand carousel,10196-1,normal,fairground,creator expert,model making,,2009
retail - limited,,4,£99.99 / $149.99,box,2231,fire brigade,10197-1,normal,modular buildings,creator expert,model making,,2009
retail - limited,,7,£44.99 / $59.99,box,815,winter village toy shop,10199-1,normal,winter village,creator expert,model making,,2009
retail - limited,,9,£142.99 / $179.99,box,1664,imperial flagship,10210-1,normal,,creator expert,model making,,2010
retail - limited,,7,£132.99 / $149.99,box,2182,grand emporium,10211-1,normal,modular buildings,creator expert,model making,,2010
lego exclusive,,3,£81.99 / $99.99,box,1204,shuttle adventure,10213-1,normal,space,creator expert,model making,,2010
retail - limited,,0,£219.99 / $239.99 / 219.99€,box,4287,tower bridge,10214-1,normal,buildings,creator expert,model making,4.35kg (9.58 lb),2010
retail - limited,,7,£50.99 / $54.99,box,687,winter village bakery,10216-1,normal,winter village,creator expert,model making,,2010
retail - limited,,4,£119.99 / $149.99 / 149.99€,box,2032,pet shop,10218-1,normal,modular buildings,creator expert,model making,,2011
lego exclusive,,3,£91.99 / $119.99,box,1237,maersk train,10219-1,normal,trains,creator expert,model making,,2011
retail - limited,,0,£84.99 / $119.99 / 99.99€,box,1332,volkswagen t1 camper van,10220-1,normal,vehicles,creator expert,model making,1.76kg (3.88 lb),2011
retail - limited,,7,£49.99 / $69.99,box,822,winter village post office,10222-1,normal,winter village,creator expert,model making,,2011
retail - limited,,8,£149.99 / $199.99,box,2766,town hall,10224-1,normal,modular buildings,creator expert,model making,,2012
retail - limited,,0,£79.99 / $99.99,box,883,sopwith camel,10226-1,normal,aircraft,creator expert,model making,,2012
retail - limited,,8,£89.99 / $99.99,box,1490,winter village cottage,10229-1,normal,winter village,creator expert,model making,,2012
retail - limited,,0,£59.99 / $79.99,box,1356,mini modulars,10230-1,normal,,creator expert,model making,,2012
lego exclusive,,3,£81.99 / $99.99,box,1230,shuttle expedition,10231-1,normal,space,creator expert,model making,,2011
retail - limited,,6,£129.99 / $149.99 / 139.99€,box,2196,palace cinema,10232-1,normal,modular buildings,creator expert,model making,,2013
retail - limited,53.5 x 27.8 x 8.6 cm,6,£79.99 / $129.99,box,1351,horizon express,10233-1,normal,trains,creator expert,model making,1.82kg (4.01 lb),2013
retail - limited,,0,£249.99 / $319.99 / 279.99€,box,2989,sydney opera house,10234-1,normal,buildings,creator expert,model making,5.54kg (12.2 lb),2013
retail - limited,47.5 x 37.1 x 6.5 cm,9,£79.99 / $99.99,box,1261,winter village market,10235-1,normal,winter village,creator expert,model making,,2013
lego exclusive,,0,£109.99 / $149.99 / 129.99€,box,1518,maersk line triple-e,10241-1,normal,maersk,creator expert,model making,,2014
retail - limited,37.5 x 35 x 9 cm,0,£79.99 / $99.99 / 89.99€,box,1077,mini cooper mk vii,10242-1,normal,vehicles,creator expert,model making,1.32kg (2.91 lb),2014
retail - limited,,5,£142.99 / $159.99 / 149.99€,box,2469,parisian restaurant,10243-1,normal,modular buildings,creator expert,model making,,2014
retail - limited,57.8 x 37.4 x 8.3 cm,12,£119.99 / $149.99 / 129.99€,box,1746,fairground mixer,10244-1,normal,fairground,creator expert,model making,,2014
retail - limited,48 x 28 x 6 cm,6,£59.99 / $69.99 / 69.99€,box,883,santa's workshop,10245-1,normal,winter village,creator expert,model making,0.99kg (2.18 lb),2014
retail - limited,,6,£142.99 / $159.99 / 149.99€,box,2262,detective's office,10246-1,normal,modular buildings,creator expert,model making,,2015
retail - limited,58 x 47.6 x 8.8 cm,10,£159.99 / $199.99 / 179.99€,box,2464,ferris wheel,10247-1,normal,fairground,creator expert,model making,,2015
lego exclusive,,0,£74.99 / $99.99 / 89.99€,box,1158,ferrari f40,10248-1,normal,vehicles,creator expert,model making,,2015
lego exclusive,48 x 28 x 7.2 cm,8,£64.99 / $79.99 / 69.99€,box,898,winter toy shop,10249-1,normal,winter village,creator expert,model making,,2015
retail - limited,58 x 37.5 x 8.2 cm,5,£129.99 / $169.99 / 149.99€,box,2380,brick bank,10251-1,normal,modular buildings,creator expert,model making,,2016
lego exclusive,48 x 28 x 7 cm,0,£74.99 / $99.99 / 89.99€,box,1167,volkswagen beetle,10252-1,normal,vehicles,creator expert,model making,,2016
lego exclusive,,0,£179.99 / $249.99 / 219.99€,box,4163,big ben,10253-1,normal,buildings,creator expert,model making,,2016
retail - limited,48 x 28 x 9 cm,5,£74.99 / $99.99 / 89.99€,box,734,winter holiday train,10254-1,normal,winter village,creator expert,model making,,2016
retail - limited,,9,£179.99 / $279.99 / 239.99€,box,4002,assembly square,10255-1,normal,modular buildings,creator expert,model making,,2017
lego exclusive,,0,£299.99 / $369.99 / 329.99€,box,5923,taj mahal,10256-1,normal,buildings,creator expert,model making,,2017
lego exclusive,57.8 x 47.5 x 8.5 cm,7,£159.99 / $199.99 / 179.99€,box,2670,carousel,10257-1,normal,fairground,creator expert,model making,,2017
lego exclusive,47.5 x 37.4 x 10.7 cm,0,£109.99 / $139.99 / 119.99€,box,1686,london bus,10258-1,normal,vehicles,creator expert,model making,,2017
lego exclusive,47.8 x 28.1 x 7.3 cm,5,£74.99 / $79.99 / 69.99€,box,902,winter village station,10259-1,normal,winter village,creator expert,model making,,2017
lego exclusive,58 x 37.5 x 9.8 cm,6,£129.99 / $169.99 / 149.99€,box,2480,downtown diner,10260-1,normal,modular buildings,creator expert,model making,,2018
lego exclusive,58.1 x 48.6 x 18.6 cm,11,£299.99 / $379.99 / 329.99€,box,4124,roller coaster,10261-1,normal,fairground,creator expert,model making,5.8kg (12.78 lb),2018
lego exclusive,,0,£129.99 / $149.99 / 149.99€,box,1290,james bond aston martin db5,10262-1,normal,vehicles,creator expert,model making,,2018
retail - limited,47.7 x 28 x 8.7 cm,8,£84.99 / $99.99 / 89.99€,box,1166,winter village fire station,10263-1,normal,winter village,creator expert,model making,1.37kg (3.01 lb),2018
lego exclusive,57.7 x 47.4 x 8.6 cm,6,£159.99 / $199.99 / 179.99€,box,2569,corner garage,10264-1,normal,modular buildings,creator expert,model making,3.04kg (6.7 lb),2019
lego exclusive,,0,£119.99 / $149.99 / 129.99€,box,1471,ford mustang,10265-1,normal,vehicles,creator expert,model making,,2019
lego exclusive,,0,£84.99 / $99.99 / 89.99€,box,1087,nasa apollo 11 lunar lander,10266-1,normal,,creator expert,model making,,2019
retail - limited,37.5 x 47.5 x 10.7 cm,3,£159.99 / $199.99 / 179.99€,box,826,vestas wind turbine,10268-1,normal,,creator expert,model making,2.16kg (4.75 lb),2018
,,0,£84.99 / $99.99 / 89.99€,box,1023,harley-davidson fat boy,10269-1,normal,vehicles,creator expert,model making,,2019
